Lex	Type	Regex	Direction	Sort	Final_Sort
no acute appearing loss of	NORMAL		forward	1	1
no convincing acute loss of	NORMAL		forward	1	2
no loss of	NORMAL	no\s(acute\s)?loss\sof	forward	1	3
appropriate for age	NORMAL		bidirectional	1	4
normal	NORMAL		bidirectional	1	5
appears preserved	NORMAL	appear(s)?\s(grossly\s)?(preserved|patent|intact)	backward	1	6
intact	NORMAL		backward	1	8
is age-appropriate	NORMAL		backward	1	9
is currently intact	NORMAL		backward	1	10
patent	NORMAL		backward	1	11
preserved	NORMAL		backward	1	12
absence of	ABSENT		forward	2	13
adequate to rule the patient out	ABSENT		forward	2	14
can rule out against	ABSENT	can\srule\s((patient|the\spatient|her|him)\s)?out(\sagainst|\sfor)?	forward	2	15
declined	ABSENT		forward	2	16
did rule out	ABSENT		forward	2	17
did rule the patient out	ABSENT	did\srule\s(patient|the patient|her|him)\sout(\sagainst)?	forward	2	18
fails to reveal	ABSENT		forward	2	19
free of	ABSENT		forward	2	20
must be ruled out for	ABSENT		forward	2	21
negative examination for	ABSENT	negative\s((examination|study|exam|evaluation)\s)?for	forward	2	22
never had	ABSENT		forward	2	23
no	ABSENT	\bno\b	forward	2	24
no abnormal	ABSENT	(no|nothing)\s(abnormal|acute|associated|convincing)\s(acute)?	forward	2	25
no convincing associated	ABSENT		forward	2	26
no definite	ABSENT	no[\s]*definite\s(acute|evidence\sof\sacute)?	forward	2	27
no definite signs of	ABSENT	(no|without)\s(definite|definitive|secondary|indirect)\s((radiographic|sonographic|CT)\s)?signs\s(of|for)	forward	2	28
no evidence of	ABSENT	(no|without)\s((definite|other|definitive|secondary|indirect)\s)?((radiographic|sonographic|CT)\s)?evidence\s(of|for)?	forward	2	29
no evidence of new	ABSENT		forward	2	30
no evidence of significant	ABSENT		forward	2	31
no external	ABSENT	(no|nothing)\s(underlying|external|findings\sto\sindicate|new|other\ssuspicion|significant|signs|suggestion)(s)?	forward	2	32
no obvious	ABSENT		forward	2	33
no significant associated	ABSENT		forward	2	34
no suspicion for acute	ABSENT		forward	2	35
no XYZ to suggest	ABSENT	(\b(without|no)\b[\d\D\s]*to suggest)	forward	2	36
not had	ABSENT	not\s(had|have|reveal|see|demonstrate|exhibit)	forward	2	37
patient was not	ABSENT		forward	2	38
rules the patient out for	ABSENT	rules\s((patient|the patient|her|him)\s)?out\s(\s(for|against))?	forward	2	39
sufficient to rule out	ABSENT	sufficient\sto\srule\s((patient|the patient|her|him)\s)?out	forward	2	40
the patient was not	ABSENT	(patient|the\spatient|her|him)\swas\snot	forward	2	41
there is no	ABSENT		forward	2	42
unremarkable for	ABSENT		forward	2	43
with no	ABSENT		forward	2	44
without	ABSENT	without(\ssign(s)?)?	forward	2	45
without associated	ABSENT		forward	2	46
can be ruled out	ABSENT	(can|could)\sbe\sruled\sout(\sfor)?	bidirectional	2	47
may be ruled out	ABSENT		bidirectional	2	48
no longer noted	ABSENT	no\slonger\s(seen|noted|visualized)	bidirectional	2	49
not	ABSENT	\bnot\b	bidirectional	2	50
not likely	ABSENT		bidirectional	2	51
unlikely	ABSENT		bidirectional	2	52
without definite	ABSENT		bidirectional	2	53
without significant	ABSENT		bidirectional	2	54
are ruled out	ABSENT		backward	2	55
completely excluded	ABSENT	(completely|entirely)?\sexcluded	backward	2	56
excluded	ABSENT		backward	2	57
free	ABSENT		backward	2	58
has been ruled out	ABSENT	(has|have)\sbeen\sruled\sout	backward	2	59
is negative	ABSENT	(is|was)\snegative	backward	2	60
is ruled out	ABSENT	(was|is|must\sbe)\sruled\sout	backward	2	61
with prior	ABSENT		backward	2	62
age appropriate	ABNORMAL		forward	3	63
asymmetric	ABNORMAL		forward	3	64
effacing	ABNORMAL		forward	3	65
loss of	ABNORMAL		forward	3	66
narrowing	ABNORMAL		forward	3	67
no areas of acute	ABSENT		forward	3	68
no findings to suggest acute	ABSENT		forward	3	69
obliteration	ABNORMAL		forward	3	70
completely effaced	ABNORMAL		bidirectional	3	71
compression	ABNORMAL	(compress(ion|ed)|compress)	bidirectional	3	72
effacement	ABNORMAL	(effacement|effaced)(\sof)?	bidirectional	3	73
appears grossly preserved except for	ABNORMAL		backward	3	74
abnormal	PRESENT		forward	4	75
abundant	PRESENT		forward	4	76
acute	PRESENT		forward	4	77
additional	PRESENT		forward	4	78
associated	PRESENT		forward	4	79
associated with	PRESENT		forward	4	80
can see	PRESENT		forward	4	81
comminuted	PRESENT		forward	4	82
compatible with	PRESENT		forward	4	83
complex	PRESENT		forward	4	84
consistent with	PRESENT		forward	4	85
convincing	PRESENT		forward	4	86
decreased	PRESENT		forward	4	87
definite	PRESENT		forward	4	88
depressed	PRESENT		forward	4	89
diffuse	PRESENT		forward	4	90
displaced	PRESENT		forward	4	91
evidence	PRESENT		forward	4	92
extensive	PRESENT		forward	4	93
findings are consistent with	PRESENT		forward	4	94
findings of	PRESENT		forward	4	95
foci of	PRESENT	(foci|focus)\sof	forward	4	96
generalized	PRESENT		forward	4	97
gross evidence	PRESENT		forward	4	98
highly suggestive	PRESENT		forward	4	99
increased	PRESENT		forward	4	100
increased conspicuity	PRESENT		forward	4	101
innumerable	PRESENT		forward	4	102
large	PRESENT		forward	4	103
left to right	PRESENT	(left|right)\sto\s(right|left)	forward	4	104
left-to-right	PRESENT	(left|right)-to-(right|left)	forward	4	105
leftward	PRESENT	((cm|mm)\s)?(of\s)?(left|right|leftward|rightward)	forward	4	106
likely	PRESENT		forward	4	107
localized	PRESENT		forward	4	108
mild	PRESENT		forward	4	109
minimal	PRESENT		forward	4	110
moderate	PRESENT		forward	4	111
multifocal	PRESENT		forward	4	112
multiple	PRESENT		forward	4	113
no significant change	PRESENT		forward	4	114
nondisplaced	PRESENT		forward	4	115
now showing	PRESENT		forward	4	116
obvious	PRESENT		forward	4	117
other than the	PRESENT		forward	4	118
patchy	PRESENT		forward	4	119
persistent	PRESENT		forward	4	120
positive study for	PRESENT	positive(\s(study|exam|examination))(\sfor)?	forward	4	121
predominantly	PRESENT		forward	4	122
redemonstration	PRESENT		forward	4	123
represents	PRESENT		forward	4	124
reveals	PRESENT		forward	4	125
rupture of	PRESENT		forward	4	126
scattered	PRESENT		forward	4	127
seen is a	PRESENT		forward	4	128
severe	PRESENT		forward	4	129
significant	PRESENT		forward	4	130
slightly	PRESENT		forward	4	131
small amount	PRESENT		forward	4	132
some	PRESENT		forward	4	133
stable	PRESENT		forward	4	134
subtle	PRESENT		forward	4	135
there are	PRESENT	there\s(are|is)	forward	4	136
thin	PRESENT	\bthin\b	forward	4	137
with adjacent	PRESENT		forward	4	138
appear	PRESENT	appear(s)?	bidirectional	4	139
believe	PRESENT		bidirectional	4	140
high probability	PRESENT		bidirectional	4	141
is positive	PRESENT		bidirectional	4	142
new	PRESENT		bidirectional	4	143
new from prior exam	PRESENT	new\sfrom(\sthe)?\sprior\s(exam|study)	bidirectional	4	144
nonspecific	PRESENT		bidirectional	4	145
overlying	PRESENT		bidirectional	4	146
small	PRESENT	(small|smaller)	bidirectional	4	147
suggest	PRESENT	\bsuggest[a-z]+\b	bidirectional	4	148
unchanged	PRESENT		bidirectional	4	149
upward	PRESENT		bidirectional	4	150
adjacent to the	PRESENT		backward	4	151
along the	PRESENT		backward	4	152
are present	PRESENT	are\s(also\s)?present	backward	4	153
do not appear significantly changed	PRESENT		backward	4	154
in	PRESENT	\bin\b	backward	4	155
in the	PRESENT		backward	4	156
in the bilateral	PRESENT		backward	4	157
is demonstrated	PRESENT		backward	4	158
is present	PRESENT	(is|are)\spresent	backward	4	159
measuring	PRESENT		backward	4	160
not significant change	PRESENT		backward	4	161
not significantly changed	PRESENT		backward	4	162
over the	PRESENT		backward	4	163
overlies the	PRESENT		backward	4	164
right greater than left	PRESENT	(right|left)\sgreater\sthan\s(left|right)	backward	4	165
suggestive	PRESENT	suggestive(\sof)?	backward	4	166
within the	PRESENT		backward	4	167
appears to be	SUSPECTED		forward	5	168
checked for	SUSPECTED		forward	5	169
concerning for	SUSPECTED		forward	5	170
could be	SUSPECTED		forward	5	171
could represent	SUSPECTED		forward	5	172
decreased conspicuity	SUSPECTED		forward	5	173
every indication	SUSPECTED		forward	5	174
likely represents	SUSPECTED	likely\s(represents|representing|represent)	forward	5	175
may be related	SUSPECTED		forward	5	176
may include	SUSPECTED		forward	5	177
